Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
DONA ORIENT VIETNAM,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,DONG NAI,_NG NAI,76000,Vietnam,SE ASIA,11126
"DONA PACIFIC VIETNAM CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,DONG NAI,_NG NAI,84061,Vietnam,SE ASIA,10488
"DONA STANDARD FOOTWEAR CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,DONG NAI,_NG NAI,76000,Vietnam,SE ASIA,16124
"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,TRANG BOM DISTRICT,_NG NAI,084-061,Vietnam,SE ASIA,9765
"DONG GUAN GOLDENPRENE SPORTING GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,GUANG DER,"LIAOBU TOWN, DONGGUAN",GUANGDONG,523405,China,N ASIA,1161
DONG GUAN LIEN HONG BAGS & SPORTS ACCESSORIES LTD.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),DONG GUAN,GUANGDONG,523128,China,N ASIA,133
DONG GUAN NEW PROSPERITY OPTICAL MFY LTD. CHANG AN BRANCH,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),DONGGUAN,GUANGDONG,523879,China,N ASIA,93
"DONG GUAN STELLA FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,STELLA,DONGGUAN,GUANGDONG,523835,China,N ASIA,326
DONGGUAN UNITED CREATION OPTICAL LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,UNITED,DONGGUAN,GUANGDONG,523642,China,N ASIA,264
"DONGGUAN YE JI INDUSTRIAL CO., LTD.",FINISHED GOODS,APPAREL,NIKE,CRYSTAL,DONGGUAN CITY,GUANGDONG,523570,China,N ASIA,787
"DONGGUAN YOUKAI INDUSTRIAL CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),DONGGUAN,GUANGDONG,523000,China,N ASIA,14
"DONG-JIN TEXTILE CO., LTD.",MATERIALS,MATERIALS,NIKE,DONG JIN,BIEN HOA,DONG NAI PROVINCE,0,Vietnam,SE ASIA,
DONGJIN TEXTILE DYEING HOUSE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),"SA-HA GU, BUSAN",BUSAN GWANGYEOGSI,49432,South Korea,N ASIA,41
"DONGUAN LEE FONG LABEL MANUFACTURE CO., LTD",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,LEE BOU LABEL ENTERPRISE,DONGGUAN CITY,GUANGDONG,,China,N ASIA,660
DRAGON CROWD GARMENT INC.,FINISHED GOODS,APPAREL,NIKE,DRAGON CROWD,NINGBO,ZHEJIANG,315000,China,N ASIA,199
DUCKSAN YANBEOL RI,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,DUCKSAN,GYEONGGI-DO,,12774,South Korea,N ASIA,24
EAGLE NICE JINGMEN GARMENTS CO LTD,FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,JINGMEN,HUBEI,43100,China,N ASIA,1990
"EAGLE NICE YIFENG GARMENTS CO., LTD",FINISHED GOODS,APPAREL,NIKE,EAGLE NICE,YIFENG,JIANGXI,EAG01,China,N ASIA,2188
EAST WIND FOOTWEAR CO LTD,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,TAMIL NADU,TAMIL NADU,631701,India,S ASIA,6198
"ECLAT TEXTILE CO., LTD",MATERIALS,MATERIALS,NIKE,"ECLAT TEXTILE CO., LTD.",TAOYUAN CITY,T'AI-WAN,337,Taiwan,N ASIA,
"ECLAT TEXTILE CO., LTD VN",FINISHED GOODS,APPAREL,NIKE,ECLAT,DONG NAI,_NG NAI,81,Vietnam,SE ASIA,5500
