Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers
PT. CHANG SHIN INDONESIA MERGED WITH SEO HEUNG,FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,KARAWANG,JAWA BARAT,41374,Indonesia,S ASIA,2276
PT. CHING LUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,CIKUPA,BANTEN,15710,Indonesia,S ASIA,8170
PT. FENG TAY INDONESIA ENTERPRISES,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,BANDUNG,JAWA BARAT,40376,Indonesia,S ASIA,14396
PT. FORMOSA BAG INDONESIA,FINISHED GOODS,EQUIPMENT,NIKE,FORMOSA,GROBOGAN,JAWA TENGAH,58165,Indonesia,S ASIA,3536
PT. GRAND BEST INDONESIA,FINISHED GOODS,APPAREL,NIKE,TUNTEX,SEMARANG,JAWA TENGAH,50174,Indonesia,S ASIA,2307
PT. KANINDO MAKMUR JAYA,FINISHED GOODS,EQUIPMENT,NIKE,KANAAN,"JEPARA, CENTRAL JAVA",JAWA TENGAH,59462,Indonesia,S ASIA,5619
PT. POU YUEN INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,CIANJUR,JAWA BARAT,43284,Indonesia,S ASIA,10940
PT. SHOETOWN LIGUNG INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,MAJALENGKA,JAWA BARAT,45456,Indonesia,S ASIA,4064
PT. TK INDUSTRIAL INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,"BELENDUNG, CIBOGO",JAWA BARAT,41285,Indonesia,S ASIA,24573
PT. YC TEC INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,NO GROUP (FW),CIBATU KABUPATEN PURWAKARTA,JAWA BARAT,41181,Indonesia,S ASIA,589
QINGDAO CHANGSHIN JIMO FACTORY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,"JIMO, QINGDAO",SHANDONG,266200,China,N ASIA,514
"QINGDAO CHANGSHIN SHOES CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,QINGDAO,SHANDONG,266300,China,N ASIA,3602
"QINGDAO TAEHWA SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,LAIXI CITY,SHANDONG,250011,China,N ASIA,508
"QINGDAO TAEJIN SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,JIMO CITY,SHANDONG,250011,China,N ASIA,357
"QINGDAO TAEKWANG SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,QINGDAO,SHANDONG,266604,China,N ASIA,2007
"QINGDAO YANTAI NE APPAREL CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,YANTAI,SHANDONG,265100,China,N ASIA,1004
QINGYUAN CITY LIANNAN YAO NATIONALITY AUTONOMOUS COUNTY RONGFANG FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QING YUAN,GUANGDONG,513300,China,N ASIA,743
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,APPAREL,NIKE,QUANG VIET,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,6160
QUANZHOU FENGZE YISHENG LEATHER CO,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),QUANZHOU,FUJIAN,362341,China,N ASIA,42
QUANZHOU UNISON LIGHT INDUSTRIAL MANUFACTURING CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),QUANZHOU,FUJIAN,362000,China,N ASIA,39
R. A. INTERTRADING S. A.,FINISHED GOODS,APPAREL,NIKE,RA INTERTRADING,CAPITAL FEDERAL,BUENOS AIRES,C1439FVQ,Argentina,AMERICAS,799
"RAJA UCHINO CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),SRIRACHA,CHON BURI,20230,Thailand,SE ASIA,134
RAMATEX APPAREL SUZHOU LTD.,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SUZHOU,JIANGSU,215121,China,N ASIA,494
RAMATEX INDUSTRIA LTD.,MATERIALS,MATERIALS,NIKE,RAMATEX,JIANG SU,JIANGSU,215021,China,N ASIA,
RAMATEX INDUSTRIAL SUZHOU LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,TAI WAH,SUZHOU,JIANGSU,215021,China,N ASIA,617
RAMATEX TEXTILES INDUSTRIAL SDN. BHD.,MATERIALS,MATERIALS,NIKE,RAMATEX,JOHOR,,0,Malaysia,S ASIA,
REGENT GARMENT FACTORY LTD,FINISHED GOODS,APPAREL,NIKE,CRYSTAL,HAI DUONG,HI DUONG,170000,Vietnam,SE ASIA,3284
"REGINA MIRACLE INTERNATIONAL VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,REGINA MIRACLE,HAI PHONG,HAI PHONG,180000,Vietnam,SE ASIA,6830
REGINA MIRACLE INTIMATE APPAREL SHENZHEN LIMITED,FINISHED GOODS,APPAREL,NIKE,REGINA MIRACLE,SHENZHEN,GUANGDONG,518132,China,N ASIA,74
RIETVELD SERIGRAFIE BV,FINISHED GOODS,APPAREL,NIKE,RIETVELD,ZOETERWOUDE RIJNDIJK,ZUID-HOLLAND,2382NW,Netherlands,EMEA,32
RIPON ATHLETIC,FINISHED GOODS,APPAREL,NIKE,RIPON,BERLIN,WISCONSIN,54923,United States of America,AMERICAS,143
RJ LIEBE ATHLETIC LETTERING CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,RJ LIEBE ATHLETIC LETTERING,CHESTERFIELD,MISSOURI,63005,United States of America,AMERICAS,48
ROLLSPORT VIETNAM FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,HUALI,THANH HOA,THANH HîA,410000,Vietnam,SE ASIA,10270
RS/TUPA IND. DE PLASTICO LTDA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),NOVO HAMBURGO,RIO GRANDE DO SUL,93546640,Brazil,AMERICAS,142
S.E.C. (DONGGUAN) ACCESSORIES LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,SEC ACCESSORIES,DONGGUAN CITY,GUANGDONG,523590,China,N ASIA,32
SABRINA CAMBODIA GARMENT MANUFACTURING,FINISHED GOODS,APPAREL,NIKE,SABRINA,SAMRONG TORNG DISTRICT,KAMPONG SPUEU,111111,Cambodia,SE ASIA,4300
SADESA (AYUTTHAYA),MATERIALS,MATERIALS,NIKE,SADESA,AYUTTHAYA,CENTRAL,0,Thailand,SE ASIA,
SADESA (CHONBURI),MATERIALS,MATERIALS,NIKE,SADESA,CHONBURI,CENTRAL,20230,Thailand,SE ASIA,
"SAIGON DARYAR PLASTIC CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,SAIGON DARYAR,DI AN,BíNH DUONG,590000,Vietnam,SE ASIA,510
SAIGON GOLDEN PRENE ENTERPRISE COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,GUANG DER,BINH DUONG,BíNH DUONG,72000,Vietnam,SE ASIA,1403
SAN FANG (INDONESIA),MATERIALS,MATERIALS,"NIKE, Converse",SAN FANG,TANGERANG,SERANG,0,Indonesia,S ASIA,
SAN FANG (TAIWAN),MATERIALS,MATERIALS,NIKE,SAN FANG,KAOHSIUNG,,,Taiwan,N ASIA,
SAN FANG (VIETNAM),MATERIALS,MATERIALS,NIKE,SAN FANG,TAN THANH,THANH PHO HO CHI MINH,10,Vietnam,SE ASIA,
SAN FANG CHINA,MATERIALS,MATERIALS,NIKE,SAN FANG,DONGGUAN,GUANGDONG,523758,China,N ASIA,
SAO KHUE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA CITY,_NG NAI,76000,Vietnam,SE ASIA,1337
SARNO DISPLAY S.R.L.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),CARNATE,LOMBARDIA,20866,Italy,EMEA,86
"SATO KNIT CO., LTD",FINISHED GOODS,APPAREL,NIKE,SATO KNIT,AMAKUSA-CITY,KUMAMOTO,863 0011,Japan,N ASIA,43
SCAVI HUE COMPANY,FINISHED GOODS,APPAREL,NIKE,SCAVI,PHONG DIEN,THA THIæN-HU,530000,Vietnam,SE ASIA,6646
SELF MAGLIERIA SNC DI FLORIANI FABRIZIO & C.,FINISHED GOODS,APPAREL,NIKE,SELF MAGLIERIA,LOMBARDY,COMO,22070,Italy,EMEA,25
SEWING JONAH,FINISHED GOODS,APPAREL,NIKE,SEWING JONAH,KUMAMOTO -CITY,KUMAMOTO,861 4101,Japan,N ASIA,47
SEYANG CORPORATION VIETNAM,FINISHED GOODS,APPAREL,NIKE,SEYANG,KIMBANG DISTRICT,HË NAM,700635492,Vietnam,SE ASIA,600
SFO APPAREL INC. (SEWING & CUTTING),FINISHED GOODS,APPAREL,NIKE,SFO APPAREL,BRISBANE,CALIFORNIA,94005,United States of America,AMERICAS,80
SHADELINE PVT LTD,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MAHIYANGANAYA,?V? M?K??AM,90730,Sri Lanka,S ASIA,1848
"SHANDONG YUANCHENGHE GARMENTS CO.,LTD",FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,"NINGYANG COUNTY, TAIAN CITY",SHANDONG,271400,China,N ASIA,116
SHANGGAO YISEN INDUSTRY CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,YICHUN,JIANGXI,336400,China,N ASIA,7879
SHAO YANG COUNTY STEIIA FOOTWEAR LTD,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,SHAOYANG,HUNAN,422100,China,N ASIA,1262
SHAOYANG LIANTAI SQ HANSHOU UPPER FACILITY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,STELLA,CHANDE CITY,HUNAN,415907,China,N ASIA,955
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,SHAOYANG CITY,HUNAN,422000,China,N ASIA,4215
"SHEN ZHOU (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,NINGBO,PHNOM PENH,PHNOM PENH,0,Cambodia,SE ASIA,2835
"SHENZHEN PENGYIFA INDUSTRIAL CO, LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SHENZHEN GUANGMING DISTRICT,GUANGDONG,518107,China,N ASIA,46
SHINTA WOOSUNG,MATERIALS,MATERIALS,NIKE,SHINTA WOOSUNG,SERANG,BANTEN,42178,Indonesia,S ASIA,
SHIXING TIAN HE GARMENTS CO. LTD.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SHAO GUANG,GUANGDONG,,China,N ASIA,127
"SHOETOWN FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QINGYUAN CITY,GUANGDONG,511800,China,N ASIA,12134
SHOETOWN HUNAN,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,YONGZHOU CITY,HUNAN,,China,N ASIA,3429
SHOETOWN JINTAN,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QINGYUAN CITY,GUANGDONG,511515,China,N ASIA,1138
SLANE HOSIERY MILLS - CENTENNIAL FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,SLANE,HIGH POINT,NORTH CAROLINA,27260,United States of America,AMERICAS,463
SLANE HOSIERY MILLS - FAIRFIELD FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,SLANE,HIGH POINT,NORTH CAROLINA,27263,United States of America,AMERICAS,493
"SNP CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,SPORTS CITY,"THU DAU MOT CITY,",BíNH DUONG,75000,Vietnam,SE ASIA,492
SON KHA SCREEN PRINTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH CITY,,,Vietnam,SE ASIA,134
SONG HONG GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HAI HAU,NAM _NH,,Vietnam,SE ASIA,1950
SONG HONG GARMENT JSC - FACTORY 15.16.17.18,FINISHED GOODS,APPAREL,NIKE,SONG HONG,HOBOKEN,NAM _NH,7030,Vietnam,SE ASIA,1997
SONGSEN GARMENT SUZHOU LTD,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SUZHOU,,215124,China,N ASIA,340
SOUTH ISLAND GARMENT SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,PRAI,,13600,Malaysia,S ASIA,405
"SOUTHERN APPAREL CONTRACTORS, S.A.",FINISHED GOODS,APPAREL,NIKE,TEGRA,CARRETERA A SAN PEDRO SULA,CORTƒS,21103,Honduras,AMERICAS,3886
SPORTEK,FINISHED GOODS,FOOTWEAR,NIKE,DIAMANT,KOTOR VAROS,REPUBLIKA SRPSKA,78220,Bosnia and Herz.,EMEA,2007
STANWELL-EXPAN CO. LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,STANWELL-EXPAN,TAOYUAN,T'AI-WAN,333,Taiwan,N ASIA,627
STAPLES PROMOTIONAL PRODUCTS (ORANGE CITY),FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ORANGE CITY,IOWA,51041,United States of America,AMERICAS,308
STAPLES PROMOTIONAL PRODUCTS (MARCUS),FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MARCUS,IOWA,51035,United States of America,AMERICAS,68
STERLING APPAREL MANUFACTURING L.L.C,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MADABA,MADABA,11636,Jordan,EMEA,354
STERLING APPAREL MANUFACTURING L.L.C. SAHAB,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,SAHAB,AMMAN,11636,Jordan,EMEA,1602
STYLDEA SRL,FINISHED GOODS,FOOTWEAR,Converse,STYLDEA,ALTIVOLE,TREVISO,31030,Italy,EMEA,18
STYLE MANUFACTURERS,FINISHED GOODS,APPAREL,NIKE,STYLE,LEON,GUANAJUATO,37358,Mexico,AMERICAS,257
STYLE TEXTILE IV,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54500,Pakistan,S ASIA,3375
STYLE TEXTILE PVT LTD.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54770,Pakistan,S ASIA,4392
STYLE TEXTILE PVT. LTD. UNIT NO. 2,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54770,Pakistan,S ASIA,398
"STYLE TEXTILE(PVT.) LIMITED, (MANGA)",FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,KASUR/LAHORE,PUNJAB,55150,Pakistan,S ASIA,7093
"SUMBER MASANDA JAYA, PT",FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,BREBES,JAWA TENGAH,52253,Indonesia,S ASIA,1956
"SUNNY JET HOSIERY CO., LIMITED",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),YANGZHOU,JIANGSU,225003,China,N ASIA,253
SUSSEX IM,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),SUSSEX,WISCONSIN,53089,United States of America,AMERICAS,315
SUZHOU TAIWAY APPAREL PTE LTD,FINISHED GOODS,APPAREL,NIKE,TAI WAH,"MUDU TOWN, WUZHONG SECTION",JIANGSU,215101,China,N ASIA,400
TAE KWANG CAN THO LIMITED LIABILITY COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,CAI RANG,CAN THO,900000,Vietnam,SE ASIA,4164
TAE KWANG VINA,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA,_NG NAI,700000,Vietnam,SE ASIA,14720
TAE KWANG VINA JOINT STOCK COMPANY'S BRANCH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA,_NG NAI,70000,Vietnam,SE ASIA,9596
TAE KWANG VINA SATELLITE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,MY THO,TIN GIANG,860000,Vietnam,SE ASIA,6131
"TAEKWANG INDUSTRY CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,GIMHAE,GYEONGSANGNAMDO,621-200,South Korea,N ASIA,866
TAI WAH GARMENTS INDUSTRY SDN BHD KULAI JAYA,FINISHED GOODS,APPAREL,NIKE,TAI WAH,JOHOR DARUL TAKZIM,JOHOR,81000,Malaysia,S ASIA,1517
TAI WAH GARMENTS INDUSTRY SDN. BHD SEGAMAT,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SEGAMAT,JOHOR,85000,Malaysia,S ASIA,842
TAI WAH GARMENTS INDUSTRY SDN. BHD.- KL1,FINISHED GOODS,APPAREL,NIKE,TAI WAH,KLUANG,JOHOR,86000,Malaysia,S ASIA,715
"TAICHUNG SHUIHING LABEL WEAVING CO., LTD.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,AVERY DENNISON,TAICHUNG,TAICHUNG,43769,Taiwan,N ASIA,84
TAITAT PUTRA REJEKI,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),BOGOR,JAKARTA RAYA,0,Indonesia,S ASIA,74
TEAM EDITION APPAREL,FINISHED GOODS,APPAREL,NIKE,TEAM EDITION,BRADENTON,FLORIDA,34208,United States of America,AMERICAS,166
TEXLAN CENTER PRIVATE LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,INTERLOOP,MINUWANGODA,COLOMBO,11550,Sri Lanka,S ASIA,922
TEXTEL SPORT TECH S.A.,FINISHED GOODS,APPAREL,NIKE,SPORT TECH,SAN MARTIN,BUENOS AIRES,,Argentina,AMERICAS,125
TEXTIL H.J.HERING LTDA,FINISHED GOODS,APPAREL,NIKE,TEXTIL H.J. HERING,INDAIAL,SANTA CATARINA,89086723,Brazil,AMERICAS,275
TEXTILES INTERNATIONAL OF EGYPT LTD.,FINISHED GOODS,APPAREL,NIKE,TIE TEXTILES,CAIRO,ASH SHARQIYAH,11816,Egypt,EMEA,1224
"TEXTILES LA PAZ, L.L.C.",FINISHED GOODS,APPAREL,NIKE,FUN TEES,EL ROSARIO LA PAZ,LA PAZ,n/a,El Salvador,AMERICAS,2502
"TEXTURERIAS, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,TEXTURERIAS,SANTIAGO TIANGUISTENCO,DISTRITO FEDERAL,52600,Mexico,AMERICAS,273
"THAI SOCK CO., LTD.",FINISHED GOODS,APPAREL,NIKE,THAI SOCKS,PRAPRADAENG,SAMUT PRAKAN,10130,Thailand,SE ASIA,503
"THE HADDAD APPAREL WUXI, CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),WUXI,JIANGSU,214125,China,N ASIA,57
"THUAN PHUONG EMBROIDERIES & GARMENTS CO., LTD - BINH CHANH FACTORY",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BINH CHANH DISTRICT,HO CHI MINH,700000,Vietnam,SE ASIA,1506
"THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,1568
TIONG LIONG (CHINA),MATERIALS,MATERIALS,NIKE,TLCÊ,FUQING CITY,FUJIAN,350300,China,N ASIA,
TIONG LIONG (TAIWAN),MATERIALS,MATERIALS,NIKE,TLCÊ,TAICHUNG,T'AI-WAN,0,Taiwan,N ASIA,
TIONG LIONG (VIETNAM),MATERIALS,MATERIALS,NIKE,TLCÊ,THUAN AN,BINH DUONG PROVINCE,0,Vietnam,SE ASIA,
"TMI VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,1817
TNG INVESTMENT AND TRADING JSC - DAI TU,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),THAI NGUYEN,THçI NGUYæN,240000,Vietnam,SE ASIA,2013
TOCCALINO CARLOS JAVIER Y TOCCALINO DANIEL ANTONIO S.H.,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),LUJAN,BUENOS AIRES,B6700,Argentina,AMERICAS,21
TONG HONG CHINA,MATERIALS,MATERIALS,NIKE,TONG HONG,BEIHAI,GUANGXI,536100,China,N ASIA,
TONG HONG VIETNAM,MATERIALS,MATERIALS,NIKE,TONG HONG,TAN THANH,BINH DUONG,0,Vietnam,SE ASIA,
TOP SUMMIT GARMENT INC,FINISHED GOODS,APPAREL,NIKE,SABRINA,KANDAL,KANDAAL,315000,Cambodia,SE ASIA,3987
TORAY SAKAI CO. LTD.,MATERIALS,MATERIALS,NIKE,TORAY SAKAI CO. LTD.,JIANG SU,JIANGSU,226010,China,N ASIA,
"TOYAMA SPORTS GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,TOYAMA SPORTS,NANTO,TOYAMA,939-1637,Japan,N ASIA,3
TTG CO. LTD.,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,TIEN GIANG,,,Vietnam,SE ASIA,51
TUKES PRINTING,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),TREMONT,PENNSYLVANIA,17981,United States of America,AMERICAS,51
TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS,APPAREL,NIKE,TUNTEX,SOC TRANG,SîC TRANG,95000,Vietnam,SE ASIA,2545
"U.S. EMBROIDERY, LLC",FINISHED GOODS,APPAREL,NIKE,US EMBROIDERY,WILSONVILLE,OREGON,97070-7678,United States of America,AMERICAS,18
UAB HALTEX,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ALYTUS,ALYTAUS APSKRITIS,62175,Lithuania,EMEA,353
"UNICHELA (PVT)LTD, VIDIYAL DIVISION",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),KILINOCHCHI,KILINOCHCHI,44000,Sri Lanka,S ASIA,1362
"UNIPAX CO., LTD",FINISHED GOODS,APPAREL,NIKE,HWASEUNG CROWN,BIEN HOA CITY,_NG NAI,,Vietnam,SE ASIA,1850
"UNITED SWEETHEARTS GARMENT (VIETNAM) CO., LTD.",FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,DONG NAI,_NG NAI,14209,Vietnam,SE ASIA,2508
UNITED SWEETHEARTS GARMENT SDN BHD,FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,SUNGAI BAKAP,PULAU PINANG,14209,Malaysia,S ASIA,1174
"UNIVERSAL SPORTING GOODS THAILAND CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,UNIVERSAL,NAKORNPRATHOM,CHON BURI,73110,Thailand,SE ASIA,539
"VEGA BALLS MANUFACTURING CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,VEGA BALL,A.MUANGSAMUTPRAKARN,SAMUT PRAKAN,10280,Thailand,SE ASIA,473
"VERTEX APPAREL CO., LTD.",FINISHED GOODS,APPAREL,NIKE,HONG SENG,WARINCHAMRAB,UBON RATCHATHANI,34190,Thailand,SE ASIA,1655
VERTICAL KNITS S.A. DE C.V.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,VERTICAL KNITS,BACA,YUCATçN,97450,Mexico,AMERICAS,2195
VERTICAL KNITS S.A. DE C.V. (MDC - TIZIMIN),FINISHED GOODS,APPAREL,NIKE,VERTICAL KNITS,TIZIMIN,YUCATçN,97702,Mexico,AMERICAS,643
"VIET HONG GARMENT EXPORT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,BEN TRE,BN TRE,150513490,Vietnam,SE ASIA,1984
VIET KHANH COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,TIEN GIANG,TIN GIANG,860000,Vietnam,SE ASIA,1493
VIET LONG HUNG GARMENT COMPANY LIMITED,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,GO CONG TOWN,TIN GIANG,860000,Vietnam,SE ASIA,1801
"VIET NAM DONA GOLD LONG JOHN INTL CO., LTD.",MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,NHON TRACH DISTRICT,DONG NAI PROVINCE,61,Vietnam,SE ASIA,
"VIET PAN - PACIFIC NAM DINH CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),NAM DINHÊ,NAM _NH,7000,Vietnam,SE ASIA,1774
VIET THINH GARMENT JOINT STOCK COMPANY,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,THANH HîA,84,Vietnam,SE ASIA,2614
VIET TIEN GARMENT CORPORATION,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH,HO CHI MINH,7000,Vietnam,SE ASIA,2642
VIETNAM CHINGLUH SHOES CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,BEN LUC COUNTY,LONG AN,700000,Vietnam,SE ASIA,17371
VIETNAM MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,TAY NINH,TåY NINH,80000,Vietnam,SE ASIA,11480
VIETNAM POU SUNG CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,TRANG BOM,_NG NAI,76318,Vietnam,SE ASIA,18728
VINH LONG FOOTWEAR CO LTD,FINISHED GOODS,FOOTWEAR,Converse,LAI YIH,VINH LONG PROVINCE,VINH LONG,89000,Vietnam,SE ASIA,10098
VINH TIEN GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,VINH LONG,VINH LONG,84-070,Vietnam,SE ASIA,2104
"VUNG TAU ORIENT CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,FENG TAY,VUNG TAU,BË RA - VUNG TËU,78000,Vietnam,SE ASIA,1599
W.S. CALCADOS LTDA.,FINISHED GOODS,FOOTWEAR,Converse,NO GROUP (FW),NOVA PETROPOLIS,RIO GRANDE DO SUL,95150-000,Brazil,AMERICAS,91
"WALT TECHNOLOGY ( CAMBODIA) CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,SIHANOUK VILLE,KRONG PREAH SIHANO,18205,Cambodia,SE ASIA,125
"WALT TECHNOLOGY GROUP CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,HAINING,ZHEJIANG,314400,China,N ASIA,758
WALT USA LLC,FINISHED GOODS,EQUIPMENT,NIKE,ZHEJIANG WALT,N LOGAN,UTAH,84341,United States of America,AMERICAS,29
WAN WAY,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),TAINAN,,70966,Taiwan,N ASIA,11
WELLPOWER SPORTING GOODS CO LTD,FINISHED GOODS,EQUIPMENT,NIKE,WELLPOWER,DONGGUAN,GUANGDONG,523425,China,N ASIA,1074
WINNING SPORTSWEAR CO. LTD.,FINISHED GOODS,APPAREL,NIKE,TIEN POU,TINH BINH DUONG,BíNH DUONG,824300,Vietnam,SE ASIA,2710
"WONJINKOLON GLOTECH CO., LTD.",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),TAM AN VILLAGE,_NG NAI,810000,Vietnam,SE ASIA,148
"WORLDON VIETNAM CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NINGBO,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,11796
